,home_team,home_score,home_scorers,away_team,away_score,away_scorers
3816,Norwich City,1,['Laet'],Stoke City,1,['Jones']
3817,Bolton Wanderers,2,"['Klasnic', 'Davies']",Manchester City,3,"['Silva', 'Barry', 'Dzeko']"
3818,Chelsea,2,"['Anelka', 'Malouda']",West Bromwich Albion,1,['Long']
3819,Everton,0,[],Queens Park Rangers,1,['Smith']
3820,Sunderland,0,[],Newcastle United,1,['Taylor']
3821,Aston Villa,3,"['Agbonlahor', 'Heskey', 'Bent']",Blackburn Rovers,1,['Pedersen']
3822,Swansea City,0,[],Wigan Athletic,0,[]
3823,Manchester City,4,"['Dzeko', 'Ag?ero', 'Silva', 'Ag?ero']",Swansea City,0,[]
3824,Stoke City,0,[],Chelsea,0,[]
3825,Liverpool,1,['Suarez'],Sunderland,1,['Larsson']
3826,Newcastle United,0,[],Arsenal,0,[]
3827,Blackburn Rovers,1,['Formica'],Wolverhampton,2,"['Fletcher', 'Ward']"
3828,Fulham,0,[],Aston Villa,0,[]
3829,Wigan Athletic,1,['Watson'],Norwich City,1,['Hoolahan']
3830,Manchester City,2,"['Rodwell', 'Rodwell']",Norwich City,3,"['Pilkington', 'Holt', 'Howson']"
3831,West Ham United,4,"['Nolan', 'Te', 'Nolan', 'Nolan']",Reading,2,"['McCleary', 'Fondre']"
3832,Tottenham Hotspur,1,['Bale'],Sunderland,0,[]
3833,Swansea City,0,[],Fulham,3,"['Kacaniklic', 'Berbatov', 'Emanuelson']"
3834,Southampton,1,['Lambert'],Stoke City,1,['Crouch']
3835,Newcastle United,0,[],Arsenal,1,['Koscielny']
3836,Chelsea,2,"['Mata', 'Torres']",Everton,1,['Naismith']
3837,Liverpool,1,['Coutinho'],Queens Park Rangers,0,[]
3838,Arsenal,4,"['Podolski', 'Walcott', 'Podolski', 'Ramsey']",Wigan Athletic,1,['Maloney']
3839,Reading,0,[],Manchester City,2,"['Ag?ero', 'Dzeko']"
3840,Manchester United,2,"['Hernandez', 'Ferdinand']",Swansea City,1,['Michu']
3841,Stoke City,1,['Nzonzi'],Tottenham Hotspur,2,"['Dempsey', 'Adebayor']"
3842,Fulham,1,['Berbatov'],Liverpool,3,"['Sturridge', 'Sturridge', 'Sturridge']"
3843,Everton,2,"['Mirallas', 'Mirallas']",West Ham United,0,[]
3844,Sunderland,1,['Bardsley'],Southampton,1,['Puncheon']
3845,Queens Park Rangers,1,['Remy'],Newcastle United,2,"['Arfa', 'Gouffran']"
3846,Aston Villa,1,['Benteke'],Chelsea,2,"['Lampard', 'Lampard']"
3847,Chelsea,2,"['Oscar', 'Ramires']",Tottenham Hotspur,2,"['Adebayor', 'Sigurdsson']"
3848,Wigan Athletic,2,"['Espinoza', 'McCarthy']",Swansea City,3,"['Rangel', 'Shechter', 'Tiendalli']"
3849,Manchester City,1,['Dzeko'],West Bromwich Albion,0,[]
3850,Sunderland,1,['O?Shea'],Stoke City,1,['Walters']
3851,Liverpool,0,[],Everton,0,[]
3852,Fulham,2,"['Ruiz', 'Ruiz']",Reading,4,"['Robson-Kanu', 'Robson-Kanu', 'Fondre', 'Karacan']"
3853,West Ham United,0,[],Newcastle United,0,[]
3854,Queens Park Rangers,0,[],Arsenal,1,['Walcott']
3855,West Bromwich Albion,2,"['Long', 'McAuley']",Wigan Athletic,3,"['Kone', 'McArthur', 'McManaman']"
3856,Tottenham Hotspur,1,['Bale'],Southampton,0,[]
3857,Swansea City,0,[],Manchester City,0,[]
3858,Norwich City,1,['Holt'],Aston Villa,2,"['Agbonlahor', 'Agbonlahor']"
3859,Aston Villa,6,"['Vlaar', 'Weimann', 'Benteke', 'Benteke', 'Benteke', 'Agbonlahor']",Sunderland,1,['Rose']
3860,Arsenal,1,['Walcott'],Manchester United,1,['Persie']
3861,Chelsea,2,"['Oscar', 'Lampard']",Swansea City,0,[]
3862,Reading,0,[],Queens Park Rangers,0,[]
3863,Newcastle United,0,[],Liverpool,6,"['Agger', 'Henderson', 'Sturridge', 'Sturridge', 'Borini', 'Henderson']"
3864,Manchester City,2,"['Ag?ero', 'Tour?']",West Ham United,1,['Carroll']
3865,Everton,1,['Pienaar'],Fulham,0,[]
3866,Stoke City,1,['Adam'],Norwich City,0,[]
3867,Southampton,0,[],West Bromwich Albion,3,"['Fortun?', 'Lukaku', 'Long']"
3868,Manchester United,3,"['Persie', 'Persie', 'Persie']",Aston Villa,0,[]
3869,Tottenham Hotspur,3,"['Dempsey', 'Defoe', 'Bale']",Manchester City,1,['Nasri']
3870,Liverpool,2,"['Sturridge', 'Suarez']",Chelsea,2,"['Oscar', 'Hazard']"
3871,Queens Park Rangers,0,[],Stoke City,2,"['Crouch', 'Walters']"
3872,Swansea City,0,[],Southampton,0,[]
3873,Sunderland,1,['Sessegnon'],Everton,0,[]
3874,West Ham United,2,"['Jarvis', 'Nolan']",Wigan Athletic,0,[]
3875,Norwich City,2,"['Bennett', 'Bennett']",Reading,1,['McCleary']
3876,West Bromwich Albion,1,['Jones'],Newcastle United,1,['Gouffran']
3877,Fulham,0,[],Arsenal,1,['Mertesacker']
3878,Fulham,0,[],Chelsea,3,"['Luiz', 'Terry', 'Terry']"
3879,Manchester City,1,['Tevez'],Wigan Athletic,0,[]
3880,West Ham United,2,"['Te', 'Diame']",Manchester United,2,"['Valencia', 'Persie']"
3881,Arsenal,0,[],Everton,0,[]
3882,Stoke City,0,[],Manchester United,2,"['Carrick', 'Persie']"
3883,Newcastle United,0,[],Sunderland,3,"['Sessegnon', 'Johnson', 'Vaughan']"
3884,Arsenal,3,"['Arteta', 'Giroud', 'Podolski']",Norwich City,1,['Turner']
3885,Everton,2,"['Gibson', 'Anichebe']",Queens Park Rangers,0,[]
3886,Southampton,1,['Ramirez'],West Ham United,1,['Carroll']
3887,Reading,0,[],Liverpool,0,[]
3888,Tottenham Hotspur,2,"['Adebayor', 'Sigurdsson']",Everton,2,"['Jagielka', 'Mirallas']"
3889,Liverpool,0,[],West Ham United,0,[]
3890,Queens Park Rangers,1,['Remy'],Wigan Athletic,1,['Maloney']
3891,Newcastle United,1,['Cisse'],Fulham,0,[]
3892,Reading,0,[],Southampton,2,"['Rodriguez', 'Lallana']"
3893,West Bromwich Albion,1,['Morrison'],Arsenal,2,"['Rosicky', 'Rosicky']"
3894,Stoke City,1,['Kightly'],Aston Villa,3,"['Agbonlahor', 'Lowton', 'Benteke']"
3895,Norwich City,2,"['Snodgrass', 'Turner']",Swansea City,2,"['Michu', 'Moore']"
3896,Aston Villa,1,['Benteke'],Liverpool,2,"['Henderson', 'Gerrard']"
3897,Southampton,2,"['Rodriguez', 'Lambert']",Chelsea,1,['Terry']
3898,Swansea City,1,['Michu'],Tottenham Hotspur,2,"['Vertonghen', 'Bale']"
3899,Everton,1,['Mirallas'],Stoke City,0,[]
3900,Wigan Athletic,1,['Kone'],Norwich City,0,[]
3901,Arsenal,4,"['Gervinho', 'Cazorla', 'Giroud', 'Arteta']",Reading,1,['Robson-Kanu']
3902,West Ham United,3,"['Carroll', 'O?Neil', 'Carroll']",West Bromwich Albion,1,['Dorrans']
3903,Wigan Athletic,2,"['Beausejour', 'Kone']",Newcastle United,1,['Santon']
3904,Chelsea,2,"['Lampard', 'Hazard']",West Ham United,0,[]
3905,Tottenham Hotspur,0,[],Fulham,1,['Berbatov']
3906,Sunderland,1,['Gardner'],Norwich City,1,['Hoolahan']
3907,Everton,2,"['Osman', 'Jelavic']",Manchester City,0,[]
3908,Swansea City,0,[],Arsenal,2,"['Monreal', 'Gervinho']"
3909,Southampton,3,"['Schneiderlin', 'Lambert', 'Rodriguez']",Liverpool,1,['Coutinho']
3910,Manchester United,1,['Rooney'],Reading,0,[]
3911,Stoke City,0,[],West Bromwich Albion,0,[]
3912,Aston Villa,3,"['Agbonlahor', 'Weimann', 'Benteke']",Queens Park Rangers,2,"['Jenas', 'Townsend']"
3913,Liverpool,3,"['Suarez', 'Downing', 'Gerrard']",Tottenham Hotspur,2,"['Vertonghen', 'Vertonghen']"
3914,Newcastle United,2,"['Cabaye', 'Cisse']",Stoke City,1,['Walters']
